in;out
найди ребёнка, разглядывай его;Местоимение: его. Объект: ребёнка
анализируй светильник, опереди его;Местоимение: его. Объект: светильник
начинай анализировать ограждение, что располагается справа от фонаря и двигай до него;Местоимение: него. Объект: ограждения
соверши поворот к мужчине, который располагается за останцем и подходи до него;Местоимение: него. Объект: мужчины
начинай поворачивать к человеку рядом с спиленным деревом и обходи его;Местоимение: его. Объект: человека
попробуй перебрасываться до упавшего человека и повернись к нему;Местоимение: нему. Объект: упавшему человеку
начни чалить к возвышенности, осмотри её;Местоимение: её. Объект: возвышенность
катись до упавшего человека, который находится перед булыгой, обозревай его;Местоимение: его. Объект: упавшего человека
выходи до расщелины, что располагается перед загородкой и опережай её;Местоимение: её. Объект: расщелину
соверши поворот к недалёкому спиленному дереву, рассмотри его;Местоимение: его. Объект: спиленное дерево
соверши поворот к данному лежащему человеку и исследуй его;Местоимение: его. Объект: лежащего человека
поворачивай до светильника, разглядывай его;Местоимение: его. Объект: светильник
отыщи свалившегося человека, который находится правее срубленного дерева, располагающееся спереди от столба и при к нему;Местоимение: нему. Объект: свалившемуся человеку
анализируй булыгу слева от тебя и осматривай её;Местоимение: её. Объект: булыгу
начинай нестись до светильника и обскочи его;Местоимение: его. Объект: светильник
вылети в ту сторону, до пьяного человека и обозревай его;Местоимение: его. Объект: пьяного человека
подвергни анализу авто, располагающееся левее пьяного человека, который находится за дубравой, обходи его;Местоимение: его. Объект: авто
обследуй железного коня и опережай его;Местоимение: его. Объект: железного коня
подвергни анализу останец сзади себя и тащись к нему;Местоимение: нему. Объект: останцу
повернись к разрыву, находящемуся левее камушка, шмыгай к нему;Местоимение: нему. Объект: разрыву
обследуй чащу правее и стремись к ней;Местоимение: ней. Объект: чаще
соверши поворот к близкой тачке, пошел к ней;Местоимение: ней. Объект: тачке
найди ольху, что находится неподалеку от железного коня и подвергни анализу её;Местоимение: её. Объект: ольху
поворачивай к ближней расщелине, обозревай её;Местоимение: её. Объект: расщелину
начни скатываться к свалившемуся человеку, находящемуся около коттеджа, исследуй его;Местоимение: его. Объект: свалившегося человека
начни сходить к недалёкой преграде, сделай поворот до неё;Местоимение: неё. Объект: преграды
забреди к товарищу, располагающемуся спереди от пьяного человека и исследуй его;Местоимение: его. Объект: товарища
начни заворчивать к недалёкому барьеру и рассматривай его;Местоимение: его. Объект: барьер
сделай поворот к наблюдаемой ольхе и обскакивай её;Местоимение: её. Объект: ольху
оставь позади останец неподалеку от камня, разглядывай его;Местоимение: его. Объект: останец
устремись в ту сторону, до трещины, рассматривай её;Местоимение: её. Объект: трещину
выскочи до близлежащего авто и поворачивай к нему;Местоимение: нему. Объект: авто
обскочи свалившегося человека, располагающегося неподалеку от разлома и поворачивай до него;Местоимение: него. Объект: свалившегося человека
заворчивай к наблюдаемому зданию и обходи его;Местоимение: его. Объект: здание
начни бежать до строения за ограждением, что располагается рядом с лежащим человеком и осмотри его;Местоимение: его. Объект: строение
обскакивай пьяного человека, находящегося слева от сломанного дерева, которое находится около дубравы и осматривай его;Местоимение: его. Объект: пьяного человека
начинай рассматривать столб спереди тебя и иди до него;Местоимение: него. Объект: столба
начинай исследовать трещину, находящуюся правее домика и рассматривай её;Местоимение: её. Объект: трещину
начинай шкандыбарить к фонарю перед тобой, исследуй его;Местоимение: его. Объект: фонарь
начни объезжать ольху и обследуй её;Местоимение: её. Объект: ольху
шлепай к валуну позади себя, сделай поворот к нему;Местоимение: нему. Объект: валуну
поворачивай до близлежащей берёзы, обследуй её;Местоимение: её. Объект: берёзу
оставь позади сюда, до авто, кинься до него;Местоимение: него. Объект: авто
осматривай постройку, которая находится справа от валуна, что располагается справа от ограждения, подходи до неё;Местоимение: неё. Объект: постройки
обследуй здание, которое неподалеку от валуна, располагающийся слева от барьера, обскакивай его;Местоимение: его. Объект: здание
обозревай ближайшую пропасть, пройди к ней;Местоимение: ней. Объект: пропасти
подвергни анализу дерево позади тебя, рассмотри его;Местоимение: его. Объект: дерево
рассматривай то ограждение и сделай поворот до него;Местоимение: него. Объект: ограждения
обследуй ближнюю пропасть, сделай поворот до неё;Местоимение: неё. Объект: пропасти
рассмотри трещину, которая располагается слева от ольхи, отходи к ней;Местоимение: ней. Объект: трещине
пытайся исследовать останец, располагающийся рядом с барьером, что правее дамы и рассмотри его;Местоимение: его. Объект: останец
осматривай тот камушек, обскакивай его;Местоимение: его. Объект: камушек
обследуй дерево, которое располагается рядом с машиной, что находится правее ребёнка и опереди его;Местоимение: его. Объект: дерево
рассмотри ту трещину и обскочи её;Местоимение: её. Объект: трещину
анализируй лампу, которая справа от останца и заворчивай до неё;Местоимение: неё. Объект: лампы
рассмотри спиленное дерево, что рядом с препятствием, шкандыбай к нему;Местоимение: нему. Объект: спиленному дереву
рассматривай тачку и обскочи её;Местоимение: её. Объект: тачку
приедь к рытвине, которая находится спереди от сваленного дерева и обследуй её;Местоимение: её. Объект: рытвину
пытайся обозревать дуб, что рядом с камнем и перекинься к нему;Местоимение: нему. Объект: дубу
соверши поворот до ближней расщелины и осматривай её;Местоимение: её. Объект: расщелину
соверши поворот к камушку сзади себя, опереди его;Местоимение: его. Объект: камушек
найди валун, находящийся слева от дубравы, исследуй его;Местоимение: его. Объект: валун
соверши поворот к тачке, располагающейся за светильником, обскочи её;Местоимение: её. Объект: тачку
опереди дерево за собой, поворачивай к нему;Местоимение: нему. Объект: дереву
разыщи валун и обходи его;Местоимение: его. Объект: валун
повернись к данному камушку, семени до него;Местоимение: него. Объект: камушка
пытайся объезжать данный барьер, заворчивай к нему;Местоимение: нему. Объект: барьеру
соверши поворот до провала и рассмотри его;Местоимение: его. Объект: провал
отыщи автомобиль, что находится рядом с лесом, что располагается за домиком, обследуй его;Местоимение: его. Объект: автомобиль
разыщи бугор и подвергни анализу его;Местоимение: его. Объект: бугор
опереди наблюдаемую преграду, осматривай её;Местоимение: её. Объект: преграду
соверши поворот до этой расщелины и обследуй её;Местоимение: её. Объект: расщелину
уезжай до преграды перед тобой и обскочи её;Местоимение: её. Объект: преграду
потеряйся до камня за тобой и повернись к нему;Местоимение: нему. Объект: камню
поторапливайся до тачки, что располагается левее ямы, подвергни анализу её;Местоимение: её. Объект: тачку
направляйся до разлома, что находится слева от человека, располагающегося перед бугром и повернись до него;Местоимение: него. Объект: разлома
сделай поворот до наблюдаемого валуна и выходи до него;Местоимение: него. Объект: валуна
сделай поворот к барьеру правее машины, находящейся рядом с коттеджем, осмотри его;Местоимение: его. Объект: барьер
исследуй булыгу позади тебя и маршируй до неё;Местоимение: неё. Объект: булыги
начинай обскакивать провал перед авто, которое находится рядом с ольхой, уходи до него;Местоимение: него. Объект: провала
анализируй рытвину спереди и выполни передислокацию до неё;Местоимение: неё. Объект: рытвины
обнаружь свалившегося человека и обозревай его;Местоимение: его. Объект: свалившегося человека
сделай поворот к наблюдаемому камушку, обследуй его;Местоимение: его. Объект: камушек
сделай поворот к близлежащей тачке, опережай её;Местоимение: её. Объект: тачку
обставь трещину справа от себя, повернись до неё;Местоимение: неё. Объект: трещины
оставь позади лампу, что спереди от берёзы, которая слева от упавшего человека, выходи к ней;Местоимение: ней. Объект: лампе
начни исследовать дубраву и рассматривай её;Местоимение: её. Объект: дубраву
осмотри ольху, которая находится правее поваленного дерева, что располагается справа от авто и сделай поворот до неё;Местоимение: неё. Объект: ольхи
анализируй лежащего человека, который находится справа от поваленного дерева неподалеку от дома и опереди его;Местоимение: его. Объект: лежащего человека
найди впадину, что находится левее спиленного дерева слева от светильника, разглядывай её;Местоимение: её. Объект: впадину
обскакивай строение, что перед камнем, который находится левее человека, при до него;Местоимение: него. Объект: строения
трогай до постройки позади себя, опережай её;Местоимение: её. Объект: постройку
оставь позади ближний валун и поворачивай до него;Местоимение: него. Объект: валуна
подвергни анализу упавшее дерево, находящееся справа от берёзы и рассмотри его;Местоимение: его. Объект: упавшее дерево
разглядывай наблюдаемую рытвину, объезжай её;Местоимение: её. Объект: рытвину
разглядывай женщину, что правее камушка, что перед коттеджем, приедь к ней;Местоимение: ней. Объект: женщине
соверши поворот к машине сзади, анализируй её;Местоимение: её. Объект: машину
соверши поворот до ограждения, которое располагается за мужчиной, располагающегося левее столба и шмыгай к нему;Местоимение: нему. Объект: ограждению
осмотри близкий останец, обходи его;Местоимение: его. Объект: останец
пытайся заворчивать к загородке, что располагается позади упавшего человека, находящемуся перед горкой, анализируй её;Местоимение: её. Объект: загородку
пытайся разглядывать бугор, что располагается сзади от свалившегося человека и повернись до него;Местоимение: него. Объект: бугра
колобродь до избы и анализируй её;Местоимение: её. Объект: избу
опереди в этом направлении, к ольхе и поворачивай до неё;Местоимение: неё. Объект: ольхи
плетись к пьяному человеку, что находится левее загородки, подвергни анализу его;Местоимение: его. Объект: пьяного человека
разглядывай препятствие и соверши поворот до него;Местоимение: него. Объект: препятствия
пытайся рассматривать товарища сзади, анализируй его;Местоимение: его. Объект: товарища
обходи овраг, который находится левее останца, находящийся рядом с сваленным деревом и рассмотри его;Местоимение: его. Объект: овраг
пытайся обскакивать ольху, что находится сзади от булыги, которая находится неподалеку от свалившегося человека, рассмотри её;Местоимение: её. Объект: ольху
соверши поворот до близкого мужчины и исследуй его;Местоимение: его. Объект: мужчину
анализируй женщину, что располагается перед лесом, что перед пропастью и объезжай её;Местоимение: её. Объект: женщину
подвергни анализу чащу, находящуюся спереди от авто, которое находится рядом с барьером, подходи до неё;Местоимение: неё. Объект: чащи
осмотри недалёкую ольху, подвергни анализу её;Местоимение: её. Объект: ольху
разглядывай ближнюю преграду и опережай её;Местоимение: её. Объект: преграду
начни поторапливаться в том направлении, к авто, объезжай его;Местоимение: его. Объект: авто
отступи в этом направлении, к коттеджу, сделай поворот до него;Местоимение: него. Объект: коттеджа
повернись до лежащего человека сзади тебя и обскочи его;Местоимение: его. Объект: лежащего человека
разыщи преграду, что располагается левее рощи, опереди её;Местоимение: её. Объект: преграду
повернись до камня, что перед ребёнком, что рядом с авто и разглядывай его;Местоимение: его. Объект: камень
попробуй шествовать к преграде и осматривай её;Местоимение: её. Объект: преграду
начни подходить в этом направлении, к дому, анализируй его;Местоимение: его. Объект: дом
рассмотри разлом и обскочи его;Местоимение: его. Объект: разлом
осмотри товарища, что справа от трещины, что находится перед барьером и исследуй его;Местоимение: его. Объект: товарища
опереди расщелину, что спереди от постройки и рассмотри её;Местоимение: её. Объект: расщелину
обставь ограждение справа от тебя и рассматривай его;Местоимение: его. Объект: ограждение
анализируй яму, которая находится справа от растения, что находится спереди от лесополосы и шагай к ней;Местоимение: ней. Объект: яме
иди к рытвине, что находится справа от поваленного дерева, находящемуся левее холма и анализируй её;Местоимение: её. Объект: рытвину
найди ближнее дерево, опережай его;Местоимение: его. Объект: дерево
опережай близкий разлом, анализируй его;Местоимение: его. Объект: разлом
поворачивай до останца правее и направляй шаги до него;Местоимение: него. Объект: останца
обскочи валун, что располагается позади спиленного дерева, которое около леса и поворачивай до него;Местоимение: него. Объект: валуна
подвигайся к данной трещине, сделай поворот к ней;Местоимение: ней. Объект: трещине
найди барьер правее и повернись до него;Местоимение: него. Объект: барьера
пытайся двигаться к ограждению спереди от строения, которое спереди от ольхи, соверши поворот к нему;Местоимение: нему. Объект: ограждению
тащись к данной берёзе и анализируй её;Местоимение: её. Объект: берёзу
начинай брести к горе и поворачивай до неё;Местоимение: неё. Объект: горы
попробуй опережать тот домик и повернись до него;Местоимение: него. Объект: домика
влачись к барьеру, что располагается за пригорком и осмотри его;Местоимение: его. Объект: барьер
начинай шмыгать к останцу, что находится спереди от товарища, обследуй его;Местоимение: его. Объект: останец
осмотри берёзу, вкатывайся к ней;Местоимение: ней. Объект: берёзе
разыщи чащу и подымайся к ней;Местоимение: ней. Объект: чаще
пытайся обозревать близлежащий дом и заворчивай до него;Местоимение: него. Объект: дома
попробуй исследовать автомобиль, что находится сзади от мужчины, рассматривай его;Местоимение: его. Объект: автомобиль
разыщи светильник, что сзади от дуба, рассмотри его;Местоимение: его. Объект: светильник
обставь данного железного коня, сделай поворот к нему;Местоимение: нему. Объект: железному коню
найди упавшее дерево, которое за фонарём, что слева от оврага и разглядывай его;Местоимение: его. Объект: упавшее дерево
отыщи лежащего человека, находящегося сзади от барьера, что располагается правее провала, анализируй его;Местоимение: его. Объект: лежащего человека
опережай дуб, что располагается правее оврага правее срубленного дерева, осмотри его;Местоимение: его. Объект: дуб
подвергни анализу постройку спереди от булыжника, повернись до неё;Местоимение: неё. Объект: постройки
отыщи ближний холмик и подвергни анализу его;Местоимение: его. Объект: холмик
рассмотри туда, до света и анализируй его;Местоимение: его. Объект: свет
попробуй обследовать валун и рассматривай его;Местоимение: его. Объект: валун
удались до того свалившегося человека и поворачивай до него;Местоимение: него. Объект: свалившегося человека
подвергни анализу препятствие и отступи до него;Местоимение: него. Объект: препятствия
доставь себя к человеку, что располагается слева от булыги, что располагается правее машины и сделай поворот до него;Местоимение: него. Объект: человека
топай до данного разлома, заворчивай до него;Местоимение: него. Объект: разлома
обходи канаву, которая правее автомобиля, осматривай её;Местоимение: её. Объект: канаву
обнаружь рытвину справа от берёзы, которая неподалеку от лежащего человека и обставь её;Местоимение: её. Объект: рытвину
повернись к упавшему дереву перед собой, обставь его;Местоимение: его. Объект: упавшее дерево
вышагивай до ольхи перед собой, подвергни анализу её;Местоимение: её. Объект: ольху
отыщи преграду, что находится спереди от растения, располагающееся перед валуном и повернись до неё;Местоимение: неё. Объект: преграды
отыщи провал правее, заворчивай до него;Местоимение: него. Объект: провала
начни анализировать валун, что находится левее упавшего человека, располагающегося за сосной, объезжай его;Местоимение: его. Объект: валун
начинай исследовать останец, располагающийся рядом с упавшим деревом, что правее кучи, сделай поворот к нему;Местоимение: нему. Объект: останцу
опережай булыгу правее тебя и поворачивай до неё;Местоимение: неё. Объект: булыги
подвергни анализу ближайшую ольху и сделай поворот до неё;Местоимение: неё. Объект: ольхи
осмотри наблюдаемую чащу, соверши поворот к ней;Местоимение: ней. Объект: чаще
исследуй близкую женщину, осмотри её;Местоимение: её. Объект: женщину
рассмотри данную берёзу, прилети к ней;Местоимение: ней. Объект: берёзе
обнаружь ограждение справа от тебя, исследуй его;Местоимение: его. Объект: ограждение
попробуй стремиться к женщине, повернись до неё;Местоимение: неё. Объект: женщины
попробуй высаживаться к мужчине, находящемуся перед пьяным человеком и рассматривай его;Местоимение: его. Объект: мужчину
шаркай к бугру, находящемуся за берёзой, рассмотри его;Местоимение: его. Объект: бугор
отыщи мужчину справа, обследуй его;Местоимение: его. Объект: мужчину
обследуй пьяного человека, объезжай его;Местоимение: его. Объект: пьяного человека
найди дубраву, находящуюся за сосной, обследуй её;Местоимение: её. Объект: дубраву
обходи дерево перед тобой, исследуй его;Местоимение: его. Объект: дерево
обставь трещину, располагающуюся правее света, располагающийся сзади от камня и исследуй её;Местоимение: её. Объект: трещину
обскакивай женщину перед тобой и заворчивай к ней;Местоимение: ней. Объект: женщине
осматривай провал слева и анализируй его;Местоимение: его. Объект: провал
начни поворачивать к провалу, что справа от камушка, что располагается справа от дубравы и пробеги к нему;Местоимение: нему. Объект: провалу
отыщи ближайшее здание и исследуй его;Местоимение: его. Объект: здание
обставь этот бугор и исследуй его;Местоимение: его. Объект: бугор
заворчивай в ту сторону, до упавшего дерева и обозревай его;Местоимение: его. Объект: упавшее дерево
переместись к наблюдаемому железному коню и опережай его;Местоимение: его. Объект: железного коня
отыщи пропасть слева и разглядывай её;Местоимение: её. Объект: пропасть
сделай поворот к чаще, которая располагается около фонаря, что располагается справа от канавы, оставь позади её;Местоимение: её. Объект: чащу
анализируй лежащего человека, который находится неподалеку от булыги, что располагается правее сосны, поворачивай к нему;Местоимение: нему. Объект: лежащему человеку
пытайся обследовать барьер справа от себя, поворачивай к нему;Местоимение: нему. Объект: барьеру
отыщи здание, располагающееся перед трещиной и обозревай его;Местоимение: его. Объект: здание
пройди к ольхе левее тебя и обскакивай её;Местоимение: её. Объект: ольху
устройся в это место, до дамы и сделай поворот до неё;Местоимение: неё. Объект: дамы
сделай поворот к валуну сзади тебя, бреди до него;Местоимение: него. Объект: валуна
попробуй шествовать к ближней загородке и исследуй её;Местоимение: её. Объект: загородку
разыщи рощу, которая неподалеку от булыги, что находится рядом с железным конём, анализируй её;Местоимение: её. Объект: рощу
начни заворчивать до близлежащего провала, обследуй его;Местоимение: его. Объект: провал
начинай исследовать ближнее ограждение, обозревай его;Местоимение: его. Объект: ограждение
начни выбредать до недалёкого леса и соверши поворот к нему;Местоимение: нему. Объект: лесу
соверши поворот до человека перед собой и уносись до него;Местоимение: него. Объект: человека
обнаружь близлежащий фонарь и двигаться к нему;Местоимение: нему. Объект: фонарю
осматривай мужчину сзади тебя, чаль к нему;Местоимение: нему. Объект: мужчине
выходи до ближайшего разрыва, обскакивай его;Местоимение: его. Объект: разрыв
разыщи дубраву около кучи, прогуляйся до неё;Местоимение: неё. Объект: дубравы
анализируй ближайший столб, сделай поворот до него;Местоимение: него. Объект: столба
начни обозревать столб, что правее горки и заворчивай до него;Местоимение: него. Объект: столба
повернись к ближайшему камушку, выдвигайся к нему;Местоимение: нему. Объект: камушку
разыщи избу левее берёзы, которая находится левее чащи, обскакивай её;Местоимение: её. Объект: избу
обходи дом позади сваленного дерева, располагающееся левее булыжника, отступи к нему;Местоимение: нему. Объект: дому
обоснуйся к останцу, что располагается сзади от особняка, обскакивай его;Местоимение: его. Объект: останец
начинай разглядывать поваленное дерево, которое располагается левее света, поворачивай к нему;Местоимение: нему. Объект: поваленному дереву
начни поворачивать до света слева от тебя, подвергни анализу его;Местоимение: его. Объект: свет
вылети до наблюдаемого холма, рассмотри его;Местоимение: его. Объект: холм
оставь позади в эту сторону, к ольхе и углубись до неё;Местоимение: неё. Объект: ольхи
обходи свалившегося человека, анализируй его;Местоимение: его. Объект: свалившегося человека
выйди к женщине позади себя и осматривай её;Местоимение: её. Объект: женщину
причаль к мужчине, который располагается спереди от лампы и заворчивай к нему;Местоимение: нему. Объект: мужчине
рассмотри мужчину, что находится слева от разлома, располагающийся рядом с упавшим деревом и повернись до него;Местоимение: него. Объект: мужчины
рассматривай ребёнка, подвергни анализу его;Местоимение: его. Объект: ребёнка
начни вкатываться до автомобиля, находящегося за останцем, сделай поворот к нему;Местоимение: нему. Объект: автомобилю
сделай поворот к светильнику, находящемуся левее трещины, осмотри его;Местоимение: его. Объект: светильник
отыщи близлежащую дубраву и подвергни анализу её;Местоимение: её. Объект: дубраву
анализируй останец, осматривай его;Местоимение: его. Объект: останец
сделай поворот к близкому провалу и опережай его;Местоимение: его. Объект: провал
начинай объезжать сваленное дерево спереди себя, осмотри его;Местоимение: его. Объект: сваленное дерево
теки до этого света, повернись к нему;Местоимение: нему. Объект: свету
рассмотри туда, к преграде, обскочи её;Местоимение: её. Объект: преграду
анализируй валун, находящийся перед пропастью, которая левее дубравы и обозревай его;Местоимение: его. Объект: валун
оставь позади разрыв, сделай поворот к нему;Местоимение: нему. Объект: разрыву
обставь дерево и анализируй его;Местоимение: его. Объект: дерево
обследуй близкую расщелину, отгреби к ней;Местоимение: ней. Объект: расщелине
обскочи камушек, поворачивай к нему;Местоимение: нему. Объект: камушку
соверши поворот до близлежащего ребёнка, опереди его;Местоимение: его. Объект: ребёнка
обследуй лес, располагающийся около расщелины и обходи его;Местоимение: его. Объект: лес
пытайся обскакивать близлежащую машину и исследуй её;Местоимение: её. Объект: машину
рассмотри близкую чащу и продвигайся к ней;Местоимение: ней. Объект: чаще
обскочи недалёкое поваленное дерево и соверши поворот до него;Местоимение: него. Объект: поваленного дерева
удались к той женщине, опережай её;Местоимение: её. Объект: женщину
исследуй лес, который располагается за загородкой спереди от кучи и поворачивай до него;Местоимение: него. Объект: леса
разыщи загородку, которая находится около авто, осмотри её;Местоимение: её. Объект: загородку
анализируй ребёнка, опережай его;Местоимение: его. Объект: ребёнка
начни рассматривать тачку, командируйся к ней;Местоимение: ней. Объект: тачке
начни дефилировать к недалёкой роще, рассмотри её;Местоимение: её. Объект: рощу
начинай обскакивать свалившегося человека и обследуй его;Местоимение: его. Объект: свалившегося человека
обходи срубленное дерево, которое располагается правее останца, находящийся рядом с упавшим человеком и осматривай его;Местоимение: его. Объект: срубленное дерево
обскочи ребёнка, находящегося около чащи, рассмотри его;Местоимение: его. Объект: ребёнка
соверши поворот к возвышенности, обследуй её;Местоимение: её. Объект: возвышенность
отступи до ближней дамы и анализируй её;Местоимение: её. Объект: даму
тронься до этого камня и обследуй его;Местоимение: его. Объект: камень
разыщи близкий разрыв и соверши поворот к нему;Местоимение: нему. Объект: разрыву
рассмотри эту дубраву и объезжай её;Местоимение: её. Объект: дубраву
обоснуйся до ближнего препятствия и осматривай его;Местоимение: его. Объект: препятствие
обозревай недалёкое сломанное дерево и сделай поворот до него;Местоимение: него. Объект: сломанного дерева
начни анализировать товарища, что находится рядом с светом и повернись до него;Местоимение: него. Объект: товарища
осматривай ближайшую тачку и повернись к ней;Местоимение: ней. Объект: тачке
обнаружь барьер и заворчивай к нему;Местоимение: нему. Объект: барьеру
исследуй камушек, сделай поворот к нему;Местоимение: нему. Объект: камушку
обнаружь железного коня и несись до него;Местоимение: него. Объект: железного коня
начинай осматривать валун, подвергни анализу его;Местоимение: его. Объект: валун
